Freq.	V(out)
9.36245573618286e+003	6.30839752846447e-001     2.20906172654891e-001
9.36364442336981e+003	6.30840622529788e-001     2.20934206118416e-001
9.36483326147626e+003	6.30841492433873e-001     2.20962243136024e-001
9.36602225052139e+003	6.30842362558758e-001     2.20990283708162e-001
9.36721139052436e+003	6.30843232904497e-001     2.21018327835280e-001
9.36840068150432e+003	6.30844103471148e-001     2.21046375517828e-001
9.36959012348045e+003	6.30844974258767e-001     2.21074426756255e-001
9.37077971647193e+003	6.30845845267409e-001     2.21102481551010e-001
9.37196946049791e+003	6.30846716497130e-001     2.21130539902543e-001
9.37315935557759e+003	6.30847587947987e-001     2.21158601811304e-001
9.37434940173013e+003	6.30848459620036e-001     2.21186667277743e-001
9.37553959897472e+003	6.30849331513333e-001     2.21214736302308e-001
9.37672994733054e+003	6.30850203627934e-001     2.21242808885451e-001
9.37792044681678e+003	6.30851075963894e-001     2.21270885027620e-001
9.37911109745263e+003	6.30851948521272e-001     2.21298964729266e-001
9.38030189925727e+003	6.30852821300121e-001     2.21327047990838e-001
9.38149285224990e+003	6.30853694300499e-001     2.21355134812788e-001
9.38268395644971e+003	6.30854567522462e-001     2.21383225195563e-001
9.38387521187590e+003	6.30855440966067e-001     2.21411319139616e-001
9.38506661854768e+003	6.30856314631368e-001     2.21439416645396e-001
9.38625817648423e+003	6.30857188518423e-001     2.21467517713353e-001
9.38744988570478e+003	6.30858062627288e-001     2.21495622343937e-001
9.38864174622853e+003	6.30858936958019e-001     2.21523730537599e-001
9.38983375807468e+003	6.30859811510672e-001     2.21551842294790e-001
9.39102592126245e+003	6.30860686285304e-001     2.21579957615959e-001
9.39221823581105e+003	6.30861561281971e-001     2.21608076501558e-001
9.39341070173970e+003	6.30862436500729e-001     2.21636198952036e-001
9.39460331906763e+003	6.30863311941635e-001     2.21664324967845e-001
9.39579608781405e+003	6.30864187604745e-001     2.21692454549436e-001
9.39698900799818e+003	6.30865063490115e-001     2.21720587697258e-001
9.39818207963926e+003	6.30865939597802e-001     2.21748724411763e-001
9.39937530275651e+003	6.30866815927862e-001     2.21776864693401e-001
